"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"11"	"GO:0009448"	"gamma-aminobutyric acid metabolic proces..."	4	3	0.12	"0.00010"
"12"	"GO:0009450"	"gamma-aminobutyric acid catabolic proces..."	4	3	0.12	"0.00010"
"13"	"GO:0019915"	"lipid storage"	4	3	0.12	"0.00010"
"14"	"GO:0042273"	"ribosomal large subunit biogenesis"	51	8	1.52	"0.00011"
"15"	"GO:0000463"	"maturation of LSU-rRNA from tricistronic..."	18	5	0.54	"0.00014"
"16"	"GO:0000479"	"endonucleolytic cleavage of tricistronic..."	33	6	0.99	"0.00037"
"17"	"GO:0000470"	"maturation of LSU-rRNA"	22	5	0.66	"0.00039"
"18"	"GO:0000478"	"endonucleolytic cleavage involved in rRN..."	34	6	1.02	"0.00044"
"19"	"GO:0001505"	"regulation of neurotransmitter levels"	13	4	0.39	"0.00044"
"20"	"GO:0042133"	"neurotransmitter metabolic process"	13	4	0.39	"0.00044"
"21"	"GO:0005978"	"glycogen biosynthetic process"	6	3	0.18	"0.00049"
"22"	"GO:0000460"	"maturation of 5.8S rRNA"	36	6	1.07	"0.00060"
"23"	"GO:0000466"	"maturation of 5.8S rRNA from tricistroni..."	36	6	1.07	"0.00060"
"24"	"GO:0007275"	"multicellular organism development"	7	3	0.21	"0.00084"
"25"	"GO:0032501"	"multicellular organismal process"	7	3	0.21	"0.00084"
"26"	"GO:0042135"	"neurotransmitter catabolic process"	8	3	0.24	"0.00131"
"27"	"GO:0006396"	"RNA processing"	369	22	11.02	"0.00132"
"28"	"GO:0009250"	"glucan biosynthetic process"	17	4	0.51	"0.00135"
"29"	"GO:0005977"	"glycogen metabolic process"	9	3	0.27	"0.00192"
"30"	"GO:0006112"	"energy reserve metabolic process"	9	3	0.27	"0.00192"
"31"	"GO:0006536"	"glutamate metabolic process"	9	3	0.27	"0.00192"
"32"	"GO:1902626"	"assembly of large subunit precursor of p..."	9	3	0.27	"0.00192"
"33"	"GO:0000469"	"cleavage involved in rRNA processing"	46	6	1.37	"0.00226"
"34"	"GO:0000472"	"endonucleolytic cleavage to generate mat..."	10	3	0.3	"0.00269"
"35"	"GO:0000480"	"endonucleolytic cleavage in 5'-ETS of tr..."	10	3	0.3	"0.00269"
"36"	"GO:0000967"	"rRNA 5'-end processing"	10	3	0.3	"0.00269"
"37"	"GO:0033692"	"cellular polysaccharide biosynthetic pro..."	22	4	0.66	"0.00368"
"38"	"GO:0000271"	"polysaccharide biosynthetic process"	23	4	0.69	"0.00436"
"39"	"GO:0000966"	"RNA 5'-end processing"	12	3	0.36	"0.00472"
"40"	"GO:0034471"	"ncRNA 5'-end processing"	12	3	0.36	"0.00472"
"41"	"GO:0009064"	"glutamine family amino acid metabolic pr..."	38	5	1.13	"0.00506"
"42"	"GO:0006002"	"fructose 6-phosphate metabolic process"	4	2	0.12	"0.00511"
"43"	"GO:0019432"	"triglyceride biosynthetic process"	4	2	0.12	"0.00511"
"44"	"GO:0043619"	"regulation of transcription from RNA pol..."	4	2	0.12	"0.00511"
"45"	"GO:0046460"	"neutral lipid biosynthetic process"	4	2	0.12	"0.00511"
"46"	"GO:0046463"	"acylglycerol biosynthetic process"	4	2	0.12	"0.00511"
"47"	"GO:1901522"	"positive regulation of transcription fro..."	4	2	0.12	"0.00511"
